season,team,qb_name,first_playoff_game,game_date,player_norm,draft_team,draft_season,team_canon,drafted_by_team
2000,BAL,T.Dilfer,2000_18_DEN_BAL,12/31/2000,T.Dilfer,,,BAL,False
2000,DEN,G.Frerotte,2000_18_DEN_BAL,12/31/2000,G.Frerotte,WAS,1994.0,DEN,False
2000,IND,P.Manning,2000_18_IND_MIA,12/30/2000,P.Manning,IND,1998.0,IND,True
2000,LA,K.Warner,2000_18_STL_NO,12/30/2000,K.Warner,,,LAR,False
2000,LV,R.Gannon,2000_19_MIA_OAK,1/6/2001,R.Gannon,NE,1987.0,LV,False
2000,MIA,J.Fiedler,2000_18_IND_MIA,12/30/2000,J.Fiedler,,,MIA,False
2000,MIN,D.Culpepper,2000_19_NO_MIN,1/6/2001,D.Culpepper,MIN,1999.0,MIN,True
2000,NO,A.Brooks,2000_18_STL_NO,12/30/2000,A.Brooks,GB,1999.0,NO,False
2000,NYG,K.Collins,2000_19_PHI_NYG,1/7/2001,K.Collins,CAR,1995.0,NYG,False
2000,PHI,D.McNabb,2000_18_TB_PHI,12/31/2000,D.McNabb,PHI,1999.0,PHI,True
2000,TB,S.King,2000_18_TB_PHI,12/31/2000,S.King,TB,1999.0,TB,True
2000,TEN,S.McNair,2000_19_BAL_TEN,1/7/2001,S.McNair,TEN,1995.0,TEN,True
2001,BAL,E.Grbac,2001_18_BAL_MIA,1/13/2002,E.Grbac,SF,1993.0,BAL,False
2001,CHI,S. Matthews,2001_19_PHI_CHI,1/19/2002,S. Matthews,,,CHI,False
2001,GB,B.Favre,2001_18_SF_GB,1/13/2002,B.Favre,ATL,1991.0,GB,False
2001,LA,K.Warner,2001_19_GB_STL,1/20/2002,K.Warner,,,LAR,False
2001,LV,R. Gannon,2001_18_NYJ_OAK,1/12/2002,R. Gannon,,,LV,False
2001,MIA,J.Fiedler,2001_18_BAL_MIA,1/13/2002,J.Fiedler,,,MIA,False
2001,NE,T.Brady,2001_19_OAK_NE,1/19/2002,T.Brady,NE,2000.0,NE,True
2001,NYJ,V.Testaverde,2001_18_NYJ_OAK,1/12/2002,V.Testaverde,TB,1987.0,NYJ,False
2001,PHI,D.McNabb,2001_18_TB_PHI,1/12/2002,D.McNabb,PHI,1999.0,PHI,True
2001,PIT,K.Stewart,2001_19_BAL_PIT,1/20/2002,K.Stewart,,,PIT,False
2001,SF,J.Garcia,2001_18_SF_GB,1/13/2002,J.Garcia,,,SF,False
2001,TB,B.Johnson,2001_18_TB_PHI,1/12/2002,B.Johnson,MIN,1992.0,TB,False
2002,ATL,M.Vick,2002_18_ATL_GB,1/4/2003,M.Vick,ATL,2001.0,ATL,True
2002,CLE,K.Holcomb,2002_18_CLE_PIT,1/5/2003,K.Holcomb,,,CLE,False
2002,GB,B.Favre,2002_18_ATL_GB,1/4/2003,B.Favre,ATL,1991.0,GB,False
2002,IND,P.Manning,2002_18_IND_NYJ,1/4/2003,P.Manning,IND,1998.0,IND,True
2002,LV,R. Gannon,2002_19_NYJ_OAK,1/12/2003,R. Gannon,,,LV,False
2002,NYG,K.Collins,2002_18_NYG_SF,1/5/2003,K.Collins,CAR,1995.0,NYG,False
2002,NYJ,C.Pennington,2002_18_IND_NYJ,1/4/2003,C.Pennington,NYJ,2000.0,NYJ,True
2002,PHI,D.McNabb,2002_19_ATL_PHI,1/11/2003,D.McNabb,PHI,1999.0,PHI,True
2002,PIT,T.Maddox,2002_18_CLE_PIT,1/5/2003,T.Maddox,,,PIT,False
2002,SF,J.Garcia,2002_18_NYG_SF,1/5/2003,J.Garcia,,,SF,False
2002,TB,B.Johnson,2002_19_SF_TB,1/12/2003,B.Johnson,MIN,1992.0,TB,False
2002,TEN,S.McNair,2002_19_PIT_TEN,1/11/2003,S.McNair,TEN,1995.0,TEN,True
2003,BAL,A.Wright,2003_18_TEN_BAL,1/3/2004,A.Wright,PIT,1999.0,BAL,False
2003,CAR,J.Delhomme,2003_18_DAL_CAR,1/3/2004,J.Delhomme,,,CAR,False
2003,DAL,Q.Carter,2003_18_DAL_CAR,1/3/2004,Q.Carter,,,DAL,False
2003,DEN,J.Plummer,2003_18_DEN_IND,1/4/2004,J.Plummer,ARI,1997.0,DEN,False
2003,GB,B.Favre,2003_18_SEA_GB,1/4/2004,B.Favre,ATL,1991.0,GB,False
2003,IND,P.Manning,2003_18_DEN_IND,1/4/2004,P.Manning,IND,1998.0,IND,True
2003,KC,T. Green,2003_19_IND_KC,1/11/2004,T. Green,,,KC,False
2003,LA,M.Bulger,2003_19_CAR_STL,1/10/2004,M.Bulger,NO,2000.0,LAR,False
2003,NE,T.Brady,2003_19_TEN_NE,1/10/2004,T.Brady,NE,2000.0,NE,True
2003,PHI,D.McNabb,2003_19_GB_PHI,1/11/2004,D.McNabb,PHI,1999.0,PHI,True
2003,SEA,M.Hasselbeck,2003_18_SEA_GB,1/4/2004,M.Hasselbeck,GB,1998.0,SEA,False
2003,TEN,S.McNair,2003_18_TEN_BAL,1/3/2004,S.McNair,TEN,1995.0,TEN,True
2004,ATL,M.Vick,2004_19_STL_ATL,1/15/2005,M.Vick,ATL,2001.0,ATL,True
2004,DEN,J.Plummer,2004_18_DEN_IND,1/9/2005,J.Plummer,ARI,1997.0,DEN,False
2004,GB,B.Favre,2004_18_MIN_GB,1/9/2005,B.Favre,ATL,1991.0,GB,False
2004,IND,P.Manning,2004_18_DEN_IND,1/9/2005,P.Manning,IND,1998.0,IND,True
2004,LA,M.Bulger,2004_18_STL_SEA,1/8/2005,M.Bulger,NO,2000.0,LAR,False
2004,LAC,D.Brees,2004_18_NYJ_SD,1/8/2005,D.Brees,LAC,2001.0,LAC,True
2004,MIN,D.Culpepper,2004_18_MIN_GB,1/9/2005,D.Culpepper,MIN,1999.0,MIN,True
2004,NE,T.Brady,2004_19_IND_NE,1/16/2005,T.Brady,NE,2000.0,NE,True
2004,NYJ,C.Pennington,2004_18_NYJ_SD,1/8/2005,C.Pennington,NYJ,2000.0,NYJ,True
2004,PHI,D.McNabb,2004_19_MIN_PHI,1/16/2005,D.McNabb,PHI,1999.0,PHI,True
2004,PIT,B.Roethlisberger,2004_19_NYJ_PIT,1/15/2005,B.Roethlisberger,PIT,2004.0,PIT,True
2004,SEA,M.Hasselbeck,2004_18_STL_SEA,1/8/2005,M.Hasselbeck,GB,1998.0,SEA,False
2005,CAR,J.Delhomme,2005_18_CAR_NYG,1/8/2006,J.Delhomme,,,CAR,False
2005,CHI,R.Grossman,2005_19_CAR_CHI,1/15/2006,R.Grossman,CHI,2003.0,CHI,True
2005,CIN,J.Kitna,2005_18_PIT_CIN,1/8/2006,J.Kitna,,,CIN,False
2005,DEN,J.Plummer,2005_19_NE_DEN,1/14/2006,J.Plummer,ARI,1997.0,DEN,False
2005,IND,P.Manning,2005_19_PIT_IND,1/15/2006,P.Manning,IND,1998.0,IND,True
2005,JAX,B.Leftwich,2005_18_JAX_NE,1/7/2006,B.Leftwich,JAX,2003.0,JAX,True
2005,NE,T.Brady,2005_18_JAX_NE,1/7/2006,T.Brady,NE,2000.0,NE,True
2005,NYG,E.Manning,2005_18_CAR_NYG,1/8/2006,E.Manning,LAC,2004.0,NYG,False
2005,PIT,B.Roethlisberger,2005_18_PIT_CIN,1/8/2006,B.Roethlisberger,PIT,2004.0,PIT,True
2005,SEA,M.Hasselbeck,2005_19_WAS_SEA,1/14/2006,M.Hasselbeck,GB,1998.0,SEA,False
2005,TB,C.Simms,2005_18_WAS_TB,1/7/2006,C.Simms,TB,2003.0,TB,True
2005,WAS,M.Brunell,2005_18_WAS_TB,1/7/2006,M.Brunell,GB,1993.0,WAS,False
2006,BAL,S.McNair,2006_19_IND_BAL,1/13/2007,S.McNair,TEN,1995.0,BAL,False
2006,CHI,R.Grossman,2006_19_SEA_CHI,1/14/2007,R.Grossman,CHI,2003.0,CHI,True
2006,DAL,T.Romo,2006_18_DAL_SEA,1/6/2007,T.Romo,,,DAL,False
2006,IND,P.Manning,2006_18_KC_IND,1/6/2007,P.Manning,IND,1998.0,IND,True
2006,KC,T.Green,2006_18_KC_IND,1/6/2007,T.Green,WAS,1993.0,KC,False
2006,LAC,P.Rivers,2006_19_NE_SD,1/14/2007,P.Rivers,NYG,2004.0,LAC,False
2006,NE,T.Brady,2006_18_NYJ_NE,1/7/2007,T.Brady,NE,2000.0,NE,True
2006,NO,D.Brees,2006_19_PHI_NO,1/13/2007,D.Brees,LAC,2001.0,NO,False
2006,NYG,E.Manning,2006_18_NYG_PHI,1/7/2007,E.Manning,LAC,2004.0,NYG,False
2006,NYJ,C.Pennington,2006_18_NYJ_NE,1/7/2007,C.Pennington,NYJ,2000.0,NYJ,True
2006,PHI,J.Garcia,2006_18_NYG_PHI,1/7/2007,J.Garcia,,,PHI,False
2006,SEA,M.Hasselbeck,2006_18_DAL_SEA,1/6/2007,M.Hasselbeck,GB,1998.0,SEA,False
2007,DAL,T.Romo,2007_19_NYG_DAL,1/13/2008,T.Romo,,,DAL,False
2007,GB,B.Favre,2007_19_SEA_GB,1/12/2008,B.Favre,ATL,1991.0,GB,False
2007,IND,P.Manning,2007_19_SD_IND,1/13/2008,P.Manning,IND,1998.0,IND,True
2007,JAX,D.Garrard,2007_18_JAX_PIT,1/5/2008,D.Garrard,JAX,2002.0,JAX,True
2007,LAC,P.Rivers,2007_18_TEN_SD,1/6/2008,P.Rivers,NYG,2004.0,LAC,False
2007,NE,T.Brady,2007_19_JAX_NE,1/12/2008,T.Brady,NE,2000.0,NE,True
2007,NYG,E.Manning,2007_18_NYG_TB,1/6/2008,E.Manning,LAC,2004.0,NYG,False
2007,PIT,B.Roethlisberger,2007_18_JAX_PIT,1/5/2008,B.Roethlisberger,PIT,2004.0,PIT,True
2007,SEA,M.Hasselbeck,2007_18_WAS_SEA,1/5/2008,M.Hasselbeck,GB,1998.0,SEA,False
2007,TB,J.Garcia,2007_18_NYG_TB,1/6/2008,J.Garcia,,,TB,False
2007,TEN,V.Young,2007_18_TEN_SD,1/6/2008,V.Young,TEN,2006.0,TEN,True
2007,WAS,T.Collins,2007_18_WAS_SEA,1/5/2008,T.Collins,,,WAS,False
2008,ARI,K.Warner,2008_18_ATL_ARI,1/3/2009,K.Warner,,,ARI,False
2008,ATL,M.Ryan,2008_18_ATL_ARI,1/3/2009,M.Ryan,ATL,2008.0,ATL,True
2008,BAL,J.Flacco,2008_18_BAL_MIA,1/4/2009,J.Flacco,BAL,2008.0,BAL,True
2008,CAR,J.Delhomme,2008_19_ARI_CAR,1/10/2009,J.Delhomme,,,CAR,False
2008,IND,P.Manning,2008_18_IND_SD,1/3/2009,P.Manning,IND,1998.0,IND,True
2008,LAC,P.Rivers,2008_18_IND_SD,1/3/2009,P.Rivers,NYG,2004.0,LAC,False
2008,MIA,C.Pennington,2008_18_BAL_MIA,1/4/2009,C.Pennington,NYJ,2000.0,MIA,False
2008,MIN,T.Jackson,2008_18_PHI_MIN,1/4/2009,T.Jackson,MIN,2006.0,MIN,True
2008,NYG,E.Manning,2008_19_PHI_NYG,1/11/2009,E.Manning,LAC,2004.0,NYG,False
2008,PHI,D.McNabb,2008_18_PHI_MIN,1/4/2009,D.McNabb,PHI,1999.0,PHI,True
2008,PIT,B.Roethlisberger,2008_19_SD_PIT,1/11/2009,B.Roethlisberger,PIT,2004.0,PIT,True
2008,TEN,K.Collins,2008_19_BAL_TEN,1/10/2009,K.Collins,CAR,1995.0,TEN,False
2009,ARI,K.Warner,2009_18_GB_ARI,1/10/2010,K.Warner,,,ARI,False
2009,BAL,J.Flacco,2009_18_BAL_NE,1/10/2010,J.Flacco,BAL,2008.0,BAL,True
2009,CIN,C.Palmer,2009_18_NYJ_CIN,1/9/2010,C.Palmer,CIN,2003.0,CIN,True
2009,DAL,T.Romo,2009_18_PHI_DAL,1/9/2010,T.Romo,,,DAL,False
2009,GB,A.Rodgers,2009_18_GB_ARI,1/10/2010,A.Rodgers,GB,2005.0,GB,True
2009,IND,P.Manning,2009_19_BAL_IND,1/16/2010,P.Manning,IND,1998.0,IND,True
2009,LAC,P.Rivers,2009_19_NYJ_SD,1/17/2010,P.Rivers,NYG,2004.0,LAC,False
2009,MIN,B.Favre,2009_19_DAL_MIN,1/17/2010,B.Favre,ATL,1991.0,MIN,False
2009,NE,T.Brady,2009_18_BAL_NE,1/10/2010,T.Brady,NE,2000.0,NE,True
2009,NO,D.Brees,2009_19_ARI_NO,1/16/2010,D.Brees,LAC,2001.0,NO,False
2009,NYJ,M.Sanchez,2009_18_NYJ_CIN,1/9/2010,M.Sanchez,NYJ,2009.0,NYJ,True
2009,PHI,D.McNabb,2009_18_PHI_DAL,1/9/2010,D.McNabb,PHI,1999.0,PHI,True
2010,ATL,M.Ryan,2010_19_GB_ATL,1/15/2011,M.Ryan,ATL,2008.0,ATL,True
2010,BAL,J.Flacco,2010_18_BAL_KC,1/9/2011,J.Flacco,BAL,2008.0,BAL,True
2010,CHI,J.Cutler,2010_19_SEA_CHI,1/16/2011,J.Cutler,DEN,2006.0,CHI,False
2010,GB,A.Rodgers,2010_18_GB_PHI,1/9/2011,A.Rodgers,GB,2005.0,GB,True
2010,IND,P.Manning,2010_18_NYJ_IND,1/8/2011,P.Manning,IND,1998.0,IND,True
2010,KC,M.Cassel,2010_18_BAL_KC,1/9/2011,M.Cassel,NE,2005.0,KC,False
2010,NE,T.Brady,2010_19_NYJ_NE,1/16/2011,T.Brady,NE,2000.0,NE,True
2010,NO,D.Brees,2010_18_NO_SEA,1/8/2011,D.Brees,LAC,2001.0,NO,False
2010,NYJ,M.Sanchez,2010_18_NYJ_IND,1/8/2011,M.Sanchez,NYJ,2009.0,NYJ,True
2010,PHI,M.Vick,2010_18_GB_PHI,1/9/2011,M.Vick,ATL,2001.0,PHI,False
2010,PIT,B.Roethlisberger,2010_19_BAL_PIT,1/15/2011,B.Roethlisberger,PIT,2004.0,PIT,True
2010,SEA,M.Hasselbeck,2010_18_NO_SEA,1/8/2011,M.Hasselbeck,GB,1998.0,SEA,False
2011,ATL,M.Ryan,2011_18_ATL_NYG,1/8/2012,M.Ryan,ATL,2008.0,ATL,True
2011,BAL,J.Flacco,2011_19_HOU_BAL,1/15/2012,J.Flacco,BAL,2008.0,BAL,True
2011,CIN,A.Dalton,2011_18_CIN_HOU,1/7/2012,A.Dalton,CIN,2011.0,CIN,True
2011,DEN,T.Tebow,2011_18_PIT_DEN,1/8/2012,T.Tebow,DEN,2010.0,DEN,True
2011,DET,M.Stafford,2011_18_DET_NO,1/7/2012,M.Stafford,DET,2009.0,DET,True
2011,GB,A.Rodgers,2011_19_NYG_GB,1/15/2012,A.Rodgers,GB,2005.0,GB,True
2011,HOU,T.Yates,2011_18_CIN_HOU,1/7/2012,T.Yates,HOU,2011.0,HOU,True
2011,NE,T.Brady,2011_19_DEN_NE,1/14/2012,T.Brady,NE,2000.0,NE,True
2011,NO,D.Brees,2011_18_DET_NO,1/7/2012,D.Brees,LAC,2001.0,NO,False
2011,NYG,E.Manning,2011_18_ATL_NYG,1/8/2012,E.Manning,LAC,2004.0,NYG,False
2011,PIT,B.Roethlisberger,2011_18_PIT_DEN,1/8/2012,B.Roethlisberger,PIT,2004.0,PIT,True
2011,SF,A.Smith,2011_19_NO_SF,1/14/2012,A.Smith,SF,2005.0,SF,True
2012,ATL,M.Ryan,2012_19_SEA_ATL,1/13/2013,M.Ryan,ATL,2008.0,ATL,True
2012,BAL,J.Flacco,2012_18_IND_BAL,1/6/2013,J.Flacco,BAL,2008.0,BAL,True
2012,CIN,A.Dalton,2012_18_CIN_HOU,1/5/2013,A.Dalton,CIN,2011.0,CIN,True
2012,DEN,P.Manning,2012_19_BAL_DEN,1/12/2013,P.Manning,IND,1998.0,DEN,False
2012,GB,A.Rodgers,2012_18_MIN_GB,1/5/2013,A.Rodgers,GB,2005.0,GB,True
2012,HOU,M.Schaub,2012_18_CIN_HOU,1/5/2013,M.Schaub,ATL,2004.0,HOU,False
2012,IND,A.Luck,2012_18_IND_BAL,1/6/2013,A.Luck,IND,2012.0,IND,True
2012,MIN,J.Webb,2012_18_MIN_GB,1/5/2013,J.Webb,MIN,2010.0,MIN,True
2012,NE,T.Brady,2012_19_HOU_NE,1/13/2013,T.Brady,NE,2000.0,NE,True
2012,SEA,R.Wilson,2012_18_SEA_WAS,1/6/2013,R.Wilson,SEA,2012.0,SEA,True
